iteration, nr_elements, global_error, exact_error
1, 59, 2.860711707090159, 3.4444608676150295
2, 110, 1.412757623662042, 1.6153130498998176
3, 210, 0.722835189902495, 0.797778979777441
4, 407, 0.36237401994523843, 0.39582556435601335
5, 812, 0.19134426253591325, 0.1950230280110862
6, 1611, 0.10409734066017128, 0.0975292849001468
7, 3203, 0.05187221370713546, 0.04867750698692883
8, 6438, 0.024934535008758228, 0.024137582711357655
9, 12907, 0.012471395258196925, 0.012015766968561388
10, 25851, 0.006050653240746805, 0.005992627214305094
1, 59, 3.2609588055221472, 4.32555539489556
2, 116, 1.739435990787402, 2.194237948086304
3, 214, 0.9260803632903098, 1.0525510792217327
4, 413, 0.454227363940687, 0.5124634803622427
5, 829, 0.23988749634738862, 0.24932847373701844
6, 1641, 0.12769351140800025, 0.12329533049255893
7, 3273, 0.06473048215685037, 0.061308461613815694
8, 6534, 0.031485874947981336, 0.030448379250088992
9, 13088, 0.015772698783257016, 0.015180585768356281
10, 26204, 0.007623951483770665, 0.007570531937579315
1, 59, 2.007309875585644, 2.893766862842883
2, 111, 1.2754846720444286, 1.6108592493616127
3, 218, 0.6867022787121868, 0.7740893408524105
4, 411, 0.34954168537536734, 0.37885802163727794
5, 822, 0.18202401490819334, 0.18687193483601539
6, 1618, 0.0989388223115543, 0.09289130467186758
7, 3214, 0.04965067678467724, 0.046292330224308086
8, 6404, 0.024007140084661243, 0.023151108392605122
9, 12814, 0.011976842389392917, 0.01156045546652947
10, 25653, 0.005855502764277654, 0.0057606955860196995
1, 59, 2.588912008346143, 2.9553465543641604
2, 115, 1.2808882894490647, 1.4945043812927514
3, 221, 0.6605521695320502, 0.7094111012787095
4, 436, 0.3237525526965374, 0.34635933976328026
5, 867, 0.17065124180316216, 0.17202797335132858
6, 1724, 0.09054062163883009, 0.08574953115511254
7, 3460, 0.04522093362078563, 0.04249409731787128
8, 6928, 0.02186581393822656, 0.021143841135552666
9, 13884, 0.010966726073114202, 0.010538050603532608
10, 27830, 0.005331331618376163, 0.00524998063000808
1, 59, 2.1261604257845588, 2.305886674998589
2, 106, 1.074494091607247, 1.1860643338506067
3, 212, 0.5506085015461809, 0.578817207389715
4, 423, 0.27221159406940765, 0.283308143485872
5, 837, 0.14150382280104545, 0.13924627642670628
6, 1676, 0.07186754185421249, 0.0691933313041562
7, 3365, 0.0360763383821495, 0.03431186194235691
8, 6813, 0.017366646157868208, 0.016875664622552675
9, 13703, 0.008709915693553696, 0.008374673835945801
1, 59, 3.365281778092392, 3.4397274182998454
2, 112, 1.4974870932698225, 1.5713917848369447
3, 221, 0.7591676854205266, 0.7940612905620059
4, 439, 0.3714389566324627, 0.39497170983948815
5, 875, 0.19549279813525325, 0.19579844301186775
6, 1741, 0.1037056752782725, 0.0980757091700675
7, 3483, 0.05192199776905312, 0.04888023547259067
8, 7004, 0.02510510028297918, 0.024282783818941635
9, 14022, 0.01263189034342177, 0.012118384166320498
10, 28080, 0.006122584941851397, 0.006047474777317279
1, 59, 1.9562717022341223, 1.8102094841055885
2, 112, 0.9258719577508897, 1.043042297273858
3, 200, 0.482139040924987, 0.5187365907514088
4, 386, 0.24910252924358173, 0.2579407044930472
5, 758, 0.12955020721908594, 0.12770822817520966
6, 1496, 0.06933342032743427, 0.06440936916708452
7, 2978, 0.03452672681561345, 0.03204825471166329
8, 5932, 0.016447208831503836, 0.015967805034850395
9, 11882, 0.008214375715443343, 0.007955363255064525
1, 59, 2.805305900423655, 3.0719165613455086
2, 117, 1.3095793985053266, 1.4516569997187674
3, 224, 0.6728867343087073, 0.7129233181388676
4, 445, 0.33002315213701433, 0.35310054823499054
5, 894, 0.17366553528743015, 0.17421737450814218
6, 1784, 0.09216527064882073, 0.08631629177282052
7, 3577, 0.045500165930087884, 0.04280138546990094
8, 7163, 0.022013632516874503, 0.021329971147267708
9, 14353, 0.011065203569355241, 0.010633703388813184
10, 28765, 0.005363869952791234, 0.005301909614308819
1, 59, 3.7415928923693507, 4.0635589753098245
2, 115, 1.6682299821935869, 1.8449143373314485
3, 222, 0.8375254525849591, 0.8985485679119946
4, 435, 0.4149890935002582, 0.4504080634847444
5, 869, 0.21890970009178023, 0.2222883568953603
6, 1731, 0.11741256425715649, 0.11185118432720127
7, 3416, 0.059128760784387634, 0.05600991327515019
8, 6833, 0.029009075402675454, 0.027959934663503185
9, 13653, 0.014576257011899654, 0.01398090553160708
10, 27302, 0.0070594300906237145, 0.006989718566813326
1, 59, 1.1101418871554205, 1.4807472374320871
2, 117, 0.6795785483334279, 0.7758685344764132
3, 221, 0.36904839829793074, 0.3974239506628547
4, 405, 0.19795752831472233, 0.20483305180036773
5, 800, 0.10379774546497486, 0.10195220896658971
6, 1568, 0.05292222153393288, 0.051039415524331895
7, 3117, 0.027065859891928782, 0.025535638407458323
8, 6194, 0.013184543775998096, 0.012802731174572087
9, 12380, 0.006629956669511476, 0.006408094970297282
1, 59, 2.5300109389527035, 3.1407473585703
2, 114, 1.3504628612116703, 1.5501003978693424
3, 215, 0.6748164037450141, 0.7464514803586166
4, 418, 0.3404872121691524, 0.3704247933232095
5, 825, 0.1805472791538495, 0.18399439698284245
6, 1635, 0.09650793599605956, 0.09115676468988419
7, 3263, 0.047802940959177906, 0.04526017510710555
8, 6526, 0.023302119954666304, 0.022568196533429494
9, 13074, 0.01168616577276905, 0.01124459214807125
10, 26196, 0.005674323549705749, 0.005606056652754526
1, 59, 1.427403983835753, 2.077591911886598
2, 118, 0.8923928141720633, 1.0841145389847227
3, 233, 0.504469575924429, 0.5530775539905566
4, 430, 0.2603672938748796, 0.27610790300440385
5, 842, 0.13865551512103125, 0.13922552676092442
6, 1649, 0.07365620121649383, 0.06971944290204964
7, 3277, 0.03807015515715999, 0.03495926318342223
8, 6521, 0.018079596219274394, 0.01751994414075576
9, 13043, 0.009062356684091588, 0.008737752465973579
1, 59, 3.415921198928023, 3.4610351921180738
2, 108, 1.527660111953215, 1.6095914469700583
3, 209, 0.7888305734081208, 0.8193517176974736
4, 407, 0.39068772217485653, 0.4128997151630087
5, 812, 0.2048912068761043, 0.20651761242778943
6, 1620, 0.10890071111203553, 0.10339684917875099
7, 3219, 0.055062600477880336, 0.051875615310446106
8, 6431, 0.02679172765755408, 0.025957540290199938
9, 12860, 0.013530153840005875, 0.012973321948616555
10, 25742, 0.006585338210933559, 0.006479028192430808
1, 59, 1.623139050027941, 1.8486430235638969
2, 115, 0.7878451928816864, 0.8703878504189604
3, 213, 0.41240695580087045, 0.44340088730179766
4, 403, 0.21962790710272784, 0.22805504794711748
5, 814, 0.11364794366621035, 0.11101300315942826
6, 1612, 0.058162825004155407, 0.05546169829611106
7, 3225, 0.028826726481486233, 0.02759154558384164
8, 6461, 0.014115616927224102, 0.013743918568492127
9, 12928, 0.007110003911862972, 0.006863902421253207
1, 59, 1.213049767002892, 1.6761663734487071
2, 117, 0.7508221475370807, 0.8734621968218903
3, 228, 0.38711578159730825, 0.4165276391897772
4, 437, 0.19824767297753687, 0.2059093070422066
5, 869, 0.10456275759279493, 0.10194423582334333
6, 1722, 0.05290181962101171, 0.05080115772034608
7, 3455, 0.02638615286317204, 0.02514128161836793
8, 6937, 0.01282407610239637, 0.01245673348501534
9, 13907, 0.006405127026524861, 0.006199387489773147
1, 59, 9.166664905186117, 3.389630208366068
2, 88, 2.6780130307395726, 2.727677558758629
3, 155, 1.1262505375558491, 1.2998690302357898
